팀명,팀코드,등번호,선수명,선수ID,포지션,생년월일,신장/체중
NC 다이노스,NC,26,최성영,66920,좌투좌타,1997-04-28,"180cm, 85kg"
NC 다이노스,NC,41,류진욱,65949,우투우타,1996-10-10,"189cm, 88kg"
NC 다이노스,NC,46,손주환,54904,우투우타,2002-01-05,"177cm, 85kg"
NC 다이노스,NC,54,김진호,67954,우투우타,1998-06-07,"183cm, 90kg"
NC 다이노스,NC,55,한재승,51994,우투우타,2001-11-21,"180cm, 90kg"
NC 다이노스,NC,57,전사민,69969,우투우타,1999-07-06,"194cm, 85kg"
NC 다이노스,NC,61,배재환,64995,우투우타,1995-02-24,"186cm, 95kg"
NC 다이노스,NC,95,김태훈,55995,우투우타,2006-10-26,"188cm, 88kg"
삼성 라이온즈,SS,1,이호성,53455,우투우타,2004-08-14,"184cm, 87kg"
삼성 라이온즈,SS,18,원태인,69446,우투우타,2000-04-06,"183cm, 92kg"
삼성 라이온즈,SS,27,김태훈,62360,우투우타,1992-03-02,"187cm, 101kg"
삼성 라이온즈,SS,28,이승민,50464,좌투좌타,2000-08-26,"174cm, 79kg"
삼성 라이온즈,SS,29,백정현,77446,좌투좌타,1987-07-13,"184cm, 80kg"
삼성 라이온즈,SS,42,양창섭,68415,우투우타,1999-09-22,"182cm, 85kg"
삼성 라이온즈,SS,43,레예스,54443,우투우타,1996-11-02,"198cm, 113kg"
삼성 라이온즈,SS,45,임창민,78352,우투우타,1985-08-25,"183cm, 94kg"
삼성 라이온즈,SS,55,배찬승,55455,좌투좌타,2006-01-01,"180cm, 85kg"
삼성 라이온즈,SS,57,이승현,51454,좌투좌타,2002-05-19,"183cm, 102kg"
삼성 라이온즈,SS,61,황동재,50441,우투우타,2001-11-03,"191cm, 97kg"
삼성 라이온즈,SS,62,김재윤,65062,우투우타,1990-09-16,"185cm, 91kg"
삼성 라이온즈,SS,75,후라도,53375,우투우타,1996-01-30,"188cm, 109kg"
두산 베어스,OB,1,박치국,67266,우언우타,1998-03-10,"177cm, 78kg"
두산 베어스,OB,35,고효준,72523,좌투좌타,1983-02-08,"179cm, 81kg"
두산 베어스,OB,39,잭로그,55239,좌투좌타,1996-04-23,"183cm, 84kg"
두산 베어스,OB,42,최지강,52206,우투좌타,2001-07-23,"180cm, 88kg"
두산 베어스,OB,46,김명신,67246,우투우타,1993-11-29,"178cm, 90kg"
두산 베어스,OB,49,박신지,68249,우투우타,1999-07-16,"185cm, 75kg"
두산 베어스,OB,50,이영하,66291,우투우타,1997-11-01,"192cm, 91kg"
두산 베어스,OB,56,김호준,68269,좌투좌타,1998-05-17,"180cm, 82kg"
두산 베어스,OB,57,콜어빈,55257,좌투좌타,1994-01-31,"193cm, 102kg"
두산 베어스,OB,61,최원준,67263,우언우타,1994-12-21,"182cm, 91kg"
두산 베어스,OB,63,김택연,54263,우투우타,2005-06-03,"181cm, 88kg"
두산 베어스,OB,68,최민석,55268,우투우타,2006-07-02,"188cm, 84kg"
두산 베어스,OB,92,양재훈,55215,우투우타,2003-05-01,"186cm, 89kg"
키움 히어로즈,WO,0,박주성,69328,우투우타,2000-11-09,"180cm, 90kg"
키움 히어로즈,WO,8,김성민,67828,좌투좌타,1994-04-26,"181cm, 90kg"
키움 히어로즈,WO,11,이강준,50036,우투우타,2001-12-14,"180cm, 80kg"
키움 히어로즈,WO,19,김윤하,54319,우투우타,2005-03-07,"185cm, 90kg"
키움 히어로즈,WO,20,조영건,69360,우투우타,1999-02-04,"180cm, 85kg"
키움 히어로즈,WO,21,이준우,55301,우투우타,2001-03-02,"183cm, 93kg"
키움 히어로즈,WO,30,주승우,52330,우투우타,2000-01-30,"180cm, 82kg"
키움 히어로즈,WO,35,박윤성,53301,우투우타,2004-02-08,"183cm, 96kg"
키움 히어로즈,WO,46,원종현,76118,우언우타,1987-07-31,"182cm, 88kg"
키움 히어로즈,WO,49,김선기,66018,우투우타,1991-09-01,"187cm, 98kg"
키움 히어로즈,WO,50,하영민,64350,우투우타,1995-05-07,"183cm, 74kg"
키움 히어로즈,WO,55,양지율,67365,우투우타,1998-12-16,"185cm, 103kg"
키움 히어로즈,WO,68,김연주,54368,우투우타,2004-02-27,"175cm, 75kg"
키움 히어로즈,WO,94,박정훈,55394,좌투좌타,2006-03-23,"192cm, 103kg"
